dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,IC-FS(full),1011,0.9000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),1011,1.0000,4,1,0,0,5,55.2539,0.2000,11.0508
OULAD,0,IC-FS(full),2024,0.3000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,0.5000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,0.6000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,0.7000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,0.8000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,0.9000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),2024,1.0000,4,1,0,0,5,56.0973,0.2000,11.2195
OULAD,0,IC-FS(full),3033,0.3000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,0.5000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,0.6000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,0.7000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,0.8000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,0.9000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),3033,1.0000,4,1,0,0,5,55.2597,0.2000,11.0519
OULAD,0,IC-FS(full),4044,0.3000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,0.5000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,0.6000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,0.7000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,0.8000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,0.9000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,IC-FS(full),4044,1.0000,4,1,0,0,5,55.9545,0.2000,11.1909
OULAD,0,NSGA-II-MOFS,0,0.3000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.5000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.6000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.7000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.8000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,0.9000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,NSGA-II-MOFS,0,1.0000,7,1,0,0,8,56.3912,0.1250,7.0489
OULAD,0,StabilitySelection,0,0.3000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.5000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.6000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.7000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.8000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.9000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,1.0000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,Boruta,0,0.3000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.5000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.6000,10,1,0,0,11,56.2056,0.0909,5.1096
