dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,1,Boruta,0,0.5000,14,1,14,3,32,81.9979,0.2500,20.4995
OULAD,1,Boruta,0,0.6000,14,1,14,3,32,81.9979,0.2938,24.0869
OULAD,1,Boruta,0,0.7000,14,1,14,3,32,81.9979,0.3375,27.6743
OULAD,1,Boruta,0,0.8000,14,1,14,3,32,81.9979,0.3813,31.2617
OULAD,1,Boruta,0,0.9000,14,1,14,3,32,81.9979,0.4250,34.8491
OULAD,1,Boruta,0,1.0000,14,1,14,3,32,81.9979,0.4688,38.4365
OULAD,2,IC-FS(full),42,0.3000,0,1,6,0,7,82.8658,0.4000,33.1463
OULAD,2,IC-FS(full),42,0.5000,0,1,6,0,7,82.8658,0.5714,47.3519
OULAD,2,IC-FS(full),42,0.6000,0,1,6,0,7,82.8658,0.6571,54.4546
OULAD,2,IC-FS(full),42,0.7000,0,1,6,0,7,82.8658,0.7429,61.5574
OULAD,2,IC-FS(full),42,0.8000,0,1,6,0,7,82.8658,0.8286,68.6602
OULAD,2,IC-FS(full),42,0.9000,0,1,6,0,7,82.8658,0.9143,75.7630
OULAD,2,IC-FS(full),42,1.0000,0,1,6,0,7,82.8658,1.0000,82.8658
OULAD,2,IC-FS(full),123,0.3000,0,1,6,0,7,83.0303,0.4000,33.2121
OULAD,2,IC-FS(full),123,0.5000,0,1,6,0,7,83.0303,0.5714,47.4459
OULAD,2,IC-FS(full),123,0.6000,0,1,6,0,7,83.0303,0.6571,54.5628
OULAD,2,IC-FS(full),123,0.7000,0,1,6,0,7,83.0303,0.7429,61.6797
OULAD,2,IC-FS(full),123,0.8000,0,1,6,0,7,83.0303,0.8286,68.7965
OULAD,2,IC-FS(full),123,0.9000,0,1,6,0,7,83.0303,0.9143,75.9134
OULAD,2,IC-FS(full),123,1.0000,0,1,6,0,7,83.0303,1.0000,83.0303
OULAD,2,IC-FS(full),456,0.3000,0,1,6,0,7,82.3445,0.4000,32.9378
OULAD,2,IC-FS(full),456,0.5000,0,1,6,0,7,82.3445,0.5714,47.0540
OULAD,2,IC-FS(full),456,0.6000,0,1,6,0,7,82.3445,0.6571,54.1121
OULAD,2,IC-FS(full),456,0.7000,0,1,6,0,7,82.3445,0.7429,61.1702
OULAD,2,IC-FS(full),456,0.8000,0,1,6,0,7,82.3445,0.8286,68.2283
OULAD,2,IC-FS(full),456,0.9000,0,1,6,0,7,82.3445,0.9143,75.2864
OULAD,2,IC-FS(full),456,1.0000,0,1,6,0,7,82.3445,1.0000,82.3445
OULAD,2,IC-FS(full),789,0.3000,0,1,6,0,7,82.4551,0.4000,32.9820
OULAD,2,IC-FS(full),789,0.5000,0,1,6,0,7,82.4551,0.5714,47.1172
OULAD,2,IC-FS(full),789,0.6000,0,1,6,0,7,82.4551,0.6571,54.1848
OULAD,2,IC-FS(full),789,0.7000,0,1,6,0,7,82.4551,0.7429,61.2523
OULAD,2,IC-FS(full),789,0.8000,0,1,6,0,7,82.4551,0.8286,68.3199
OULAD,2,IC-FS(full),789,0.9000,0,1,6,0,7,82.4551,0.9143,75.3875
OULAD,2,IC-FS(full),789,1.0000,0,1,6,0,7,82.4551,1.0000,82.4551
OULAD,2,IC-FS(full),1011,0.3000,0,1,6,0,7,82.4092,0.4000,32.9637
OULAD,2,IC-FS(full),1011,0.5000,0,1,6,0,7,82.4092,0.5714,47.0910
OULAD,2,IC-FS(full),1011,0.6000,0,1,6,0,7,82.4092,0.6571,54.1546
OULAD,2,IC-FS(full),1011,0.7000,0,1,6,0,7,82.4092,0.7429,61.2183
OULAD,2,IC-FS(full),1011,0.8000,0,1,6,0,7,82.4092,0.8286,68.2819
OULAD,2,IC-FS(full),1011,0.9000,0,1,6,0,7,82.4092,0.9143,75.3455
OULAD,2,IC-FS(full),1011,1.0000,0,1,6,0,7,82.4092,1.0000,82.4092
OULAD,2,IC-FS(full),2024,0.3000,0,1,6,0,7,82.5490,0.4000,33.0196
OULAD,2,IC-FS(full),2024,0.5000,0,1,6,0,7,82.5490,0.5714,47.1709
OULAD,2,IC-FS(full),2024,0.6000,0,1,6,0,7,82.5490,0.6571,54.2465
OULAD,2,IC-FS(full),2024,0.7000,0,1,6,0,7,82.5490,0.7429,61.3221
OULAD,2,IC-FS(full),2024,0.8000,0,1,6,0,7,82.5490,0.8286,68.3977
OULAD,2,IC-FS(full),2024,0.9000,0,1,6,0,7,82.5490,0.9143,75.4734
OULAD,2,IC-FS(full),2024,1.0000,0,1,6,0,7,82.5490,1.0000,82.5490
OULAD,2,IC-FS(full),3033,0.3000,0,1,6,0,7,82.9133,0.4000,33.1653
OULAD,2,IC-FS(full),3033,0.5000,0,1,6,0,7,82.9133,0.5714,47.3790
OULAD,2,IC-FS(full),3033,0.6000,0,1,6,0,7,82.9133,0.6571,54.4859
OULAD,2,IC-FS(full),3033,0.7000,0,1,6,0,7,82.9133,0.7429,61.5928
OULAD,2,IC-FS(full),3033,0.8000,0,1,6,0,7,82.9133,0.8286,68.6996
OULAD,2,IC-FS(full),3033,0.9000,0,1,6,0,7,82.9133,0.9143,75.8065
OULAD,2,IC-FS(full),3033,1.0000,0,1,6,0,7,82.9133,1.0000,82.9133
OULAD,2,IC-FS(full),4044,0.3000,0,1,6,0,7,82.3069,0.4000,32.9227
